
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Steering Kinematics                                             Demo data                                           

   WhlTra  TraRack  WhlAngL  WhlAngR  CamberL KPOffset  TrackCh Ackerman TrackDif SteerDif AckError AckPCent StRodAng TrackDia  TurnDia
     [mm]     [mm]    [deg]    [deg]    [deg]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]      [%]    [deg]      [m]      [m]

    -5.00    50.00    15.45    15.10    -1.36    -4.07   -16.55    13.38     2.07     0.35     1.72    16.89    61.74    20.85    21.56
    -5.00    60.00    18.64    18.16    -0.42    -4.24   -23.67    15.74     2.90     0.48     2.42    16.65    59.35    17.43    18.20
    -5.00    70.00    21.87    21.25     0.59    -4.45   -32.02    18.03     3.84     0.63     3.21    16.35    57.01    14.99    15.80
    -5.00     0.00     0.01    -0.01    -4.93    -3.43    -0.22    -0.01    -0.00    -0.02     0.02     0.00    74.62 ******** ********
    -5.00   -10.00    -3.02    -3.05    -5.43    -3.26    -0.88    -2.95    -0.09    -0.03    -0.06    32.77    77.39   103.22   103.72
    -5.00   -20.00    -6.03    -6.10    -5.87    -3.06    -2.85    -5.74    -0.36    -0.07    -0.29    20.08    80.24    51.68    52.24
    -5.00   -30.00    -9.05    -9.19    -6.25    -2.82    -6.12    -8.40    -0.79    -0.14    -0.65    17.89    83.16    34.54    35.15
    -5.00   -40.00   -12.07   -12.30    -6.56    -2.53   -10.70   -10.94    -1.36    -0.23    -1.13    17.21    86.16    25.98    26.64
    -5.00   -50.00   -15.10   -15.45    -6.80    -2.20   -16.55   -13.38    -2.07    -0.35    -1.72    16.89    89.25    20.85    21.56
    -5.00   -60.00   -18.16   -18.64    -6.98    -1.82   -23.67   -15.74    -2.90    -0.48    -2.42    16.65    92.44    17.43    18.20
    -5.00   -70.00   -21.25   -21.87    -7.10    -1.39   -32.02   -18.03    -3.84    -0.63    -3.21    16.35    95.74    14.99    15.80
   -10.00     0.00     0.01    -0.01    -4.86    -3.42    -0.49    -0.01    -0.00    -0.03     0.03     0.00    74.77 ******** ********
   -10.00    10.00     3.07     3.03    -4.29    -3.56    -1.15     2.98     0.09     0.04     0.05    42.92    72.07   102.77   103.27
   -10.00    20.00     6.15     6.06    -3.64    -3.69    -3.14     5.78     0.37     0.08     0.28    22.56    69.43    51.42    51.97
   -10.00    30.00     9.25     9.10    -2.93    -3.81    -6.44     8.45     0.80     0.15     0.65    18.92    66.86    34.35    34.96
   -10.00    40.00    12.38    12.13    -2.14    -3.93   -11.06    11.00     1.38     0.24     1.13    17.71    64.34    25.84    26.50
